DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
881278270,Der goldne Topf : e. Märchen aus d. neuen Zeit / E. T. A. Hoffmann. Mit e. Nachw. von Konrad Nussbächer,UB 101,1988.0,118552465,"Hoffmann, E. T. A. (Verfasser)",118552465,"Hoffmann, E. T. A. ",59 Belletristik
880822058,Der glückliche Prinz und andere Märchen / Oscar Wilde. Aus d. Engl. übers. u. mit e. Nachw. vers. von Ernst Sander. [Die Übers. wurde von Ingrid Krüger-Dürr durchgehend rev.],UB 6865,1988.0,118632779 + 118605372,"Wilde, Oscar (Verfasser) + Sander, Ernst (Übersetzer)",118632779,"Wilde, Oscar ",820 Englische Literatur + B Belletristik
880670797,Der Gesellschaftsvertrag : [aus d. Franz.] / Jean-Jacques Rousseau. [Übers. von Hermann Denhardt u. Werner Bahner],UB 699,1988.0,118603426 + 115706941,"Rousseau, Jean-Jacques (Verfasser) + Denhardt, Hermann (Übersetzer) + Kleiner, Heike (Buchgestalter)",118603426,"Rousseau, Jean-Jacques ","16 Politik + 19 Recht + 14 Soziologie, Gesellschaft + 10 Philosophie"
890510792,Der gallische Krieg : [aus dem Lateinischen] / Gajus Julius Caesar. [Übers. von Curt Woyte],UB 228,1988.0,118518275 + 101995067,"Caesar, Gaius Iulius (Verfasser) + Woyte, Curt (Übersetzer)",118518275,"Caesar, Gaius Iulius ",63 Geschichte und Historische Hilfswissenschaften + 21 Militär
890176191,Der Freischütz : romantische Oper in 3 Aufzügen ; vollständiges Buch / Carl Maria von Weber. Dichtung von Friedrich Kind. Mit e. Einl. neu hrsg. von Wilhelm Zentner,UB 2530,1988.0,118629662 + 118885235,"Weber, Carl Maria von (Verfasser)",118629662,"Weber, Carl Maria von ","49 Theater, Tanz, Film + 59 Belletristik"
890168229,Der Fänger im Roggen : [aus dem Englischen] / J. D. Salinger. [Übers. bearb. von Heinrich Böll],UB 498,1988.0,118605054 + 118512676,"Salinger, Jerome D. (Verfasser) + Böll, Heinrich (Mitwirkender)",118605054,"Salinger, Jerome D. ",810 Englische Literatur Amerikas + B Belletristik
890013349,Der eingebildete Kranke : Komödie in 3 Aufzügen / Molière. Übers. u. Nachw. von Doris Distelmaier-Haas,UB 1177,1988.0,11858331X + 120016842,"Molière (Verfasser) + Distelmaier-Haas, Doris (Übersetzer)",11858331X,Molière ,59 Belletristik
890906246,Der eingebildete Kranke : Komödie in 3 Aufzügen / Molière. Übers. u. Nachw. von Doris Distelmaier-Haas,UB 1177,1988.0,11858331X + 120016842,"Molière (Verfasser) + Distelmaier-Haas, Doris (Übersetzer)",11858331X,Molière ,59 Belletristik
880829931,Der blonde EckbertDer Runenberg [u.a.]. Märchen / Ludwig Tieck. Mit e. Nachw. von Konrad Nussbacher,UB 7732,1988.0,12989432X,"Tieck, Ludwig (Verfasser)",12989432X,"Tieck, Ludwig ",59 Belletristik
880403810,Der arme Spielmann : Erzählung / Franz Grillparzer. Nachw. von Helmut Bachmaier,UB 4430,1988.0,118542192,"Grillparzer, Franz (Verfasser)",118542192,"Grillparzer, Franz ",59 Belletristik
