GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/116377208,page_not_found,,,,,,,,"Auerbach, Alfred"
https://d-nb.info/gnd/11865103X,page_found,Berthold Auerbach,4.0,6.0,13.0,,,,"Auerbach, Berthold"
https://d-nb.info/gnd/118505025,page_found,Erich Auerbach,4.8,6.0,10.0,,,,"Auerbach, Erich"
https://d-nb.info/gnd/118505033,page_found,Raoul Auernheimer,3.0,1.0,,,,,"Auernheimer, Raoul"
https://d-nb.info/gnd/11850505X,page_not_found,,,,,,,,"Auffenberg, Joseph von"
https://d-nb.info/gnd/1157485391,page_not_found,,,,,,,,"Augspurger, August"
https://d-nb.info/gnd/115699635,page_found,Urs Augstburger,3.6,68.0,99.0,7.0,,,"Augstburger, Urs"
https://d-nb.info/gnd/118651080,page_found,Rudolf Augstein,3.8,4.0,11.0,,1.0,,"Augstein, Rudolf"
https://d-nb.info/gnd/118505076,page_not_found,,,,,,,,"August, Braunschweig-Lüneburg, Herzog, 1579-1666"
https://d-nb.info/gnd/104279699,page_not_found,,,,,,,,"Augusta Marie, Baden-Durlach, Markgräfin"
https://d-nb.info/gnd/11955223X,page_found,Ernst Augustin,4.1,56.0,93.0,11.0,,1.0,"Augustin, Ernst"
https://d-nb.info/gnd/100937004,page_not_found,,,,,,,,"Augustin, von Hammerstetten"
https://d-nb.info/gnd/11922349X,page_found,Ludwig Aurbacher,,,,,,,"Aurbacher, Ludwig"
https://d-nb.info/gnd/100019668,page_not_found,,,,,,,,"Aurpach, Johann"
https://d-nb.info/gnd/118829211,page_found,Rose Ausländer,4.6,64.0,66.0,6.0,1.0,5.0,"Ausländer, Rose"
https://d-nb.info/gnd/118505165,page_not_found,,,,,,,,"Ausonius, Decimus Magnus"
https://d-nb.info/gnd/118505173,page_found,Jane Austen,4.3,10484.0,10682.0,1348.0,502.0,432.0,"Austen, Jane"
https://d-nb.info/gnd/11910251X,page_found,Paul Auster,4.0,3058.0,2540.0,238.0,101.0,82.0,"Auster, Paul"
https://d-nb.info/gnd/119025698,page_not_found,,,,,,,,"Ava, Frau"
https://d-nb.info/gnd/100019382,page_not_found,,,,,,,,"Avancini, Niccolò"
https://d-nb.info/gnd/118651218,page_found,Ferdinand Avenarius,,,,,,,"Avenarius, Ferdinand"
https://d-nb.info/gnd/11850522X,page_not_found,,,,,,,,"Aventinus, Johannes"
https://d-nb.info/gnd/118651293,page_found,Marcel Aymé,4.3,7.0,13.0,2.0,1.0,,"Aymé, Marcel"
https://d-nb.info/gnd/124975925,page_found,Armin Ayren,3.0,1.0,,,,,"Ayren, Armin"
https://d-nb.info/gnd/118869647,page_not_found,,,,,,,,"Ayrenhoff, Cornelius von"
https://d-nb.info/gnd/118651307,page_not_found,,,,,,,,"Ayrer, Jakob"
https://d-nb.info/gnd/118505378,page_found,Franz von Baader,,,,,,,"Baader, Franz von"
