,GND,searchphrase,BDSL_hits_2000_all
570,1041281773,Ursula Rütt,0.0
571,1041282168,Kristian Pech,0.0
572,10413030X,Jacobus Theodorus,0.0
573,104130792,Karl Ferdinand Philippi,0.0
574,104147288,Andreas Meyer,16.0
575,104150890,Uffo Horn,6.0
576,104156686,Eucharius Rößlin,2.0
577,104158735,Johann Friedrich Schütze,0.0
578,104160039,Adam Walasser,0.0
579,104160268,Anton Johann Groß-Hoffinger,1.0
580,104160756,Petrus Schott,2.0
581,10416106X,Christian Schöttgen,1.0
582,104162368,Gräfin  Schwarzburg-Rudolstadt Ludaemilia Elisabeth,0.0
583,104164999,Georg Rudolf Widmann,1.0
584,104165251,Johann Nepomuk Komareck,0.0
585,104167254,Johann Andreas Rothe,0.0
586,104171073,Johannes Bertesius,0.0
587,104176962,Der Taler,1.0
588,104196092,Gotthelf Wilhelm Christoph Starke,4.0
589,104196238,Johann Ludwig Stoll,2.0
590,1041968094,Axel Schulze,2.0
591,104197102,Johann Friedrich Zöllner,7.0
592,10421368X,Laurentius Corvinus,0.0
593,104213701,Benedictus Chelidonius,2.0
594,104218525,Sanjay Subrahmanyam,0.0
595,104221399,Balthasar Springer,3.0
596,104222239,Joachim Müllner,0.0
597,104222301,Sophie Eleonore von Titzenhofer,0.0
598,1042226075,Ingeborg Kaiser,0.0
599,1042226296,Karl Kaiser,80.0
600,10422262X,Paul Jacob Marperger,2.0
601,104222735,Franz Friedrich von Maltitz,0.0
602,104224363,Johannes Kerckmeister,0.0
603,1042258694,Herbert Kapfer,8.0
604,104226855X,Natascha Selinger,0.0
605,104231361X,Karlludwig Opitz,0.0
606,104234431,Franz von Gaudy,18.0
607,104234644,Carl Friedrich Gauß,4.0
608,104236280,Wilhelmine Karoline von Wobeser,5.0
609,1042403120,Elisabeth Klar,3.0
610,104242450,David Gregor Corner,0.0
611,104242957,de Arnstein Wichmannus,1.0
612,104247533,Johannes Lassenius,0.0
613,104247843,Johannes Lichtenberger,4.0
614,104251859,Caspar Peucer,2.0
615,1042530173,Horst Kleineidam,0.0
616,10425386X,Galsan Tschinag,21.0
617,104256133,Philipp Frankfurter,15.0
618,104256621,Samuel Schelwig,0.0
619,104262877,Gottfried Peter Rauschnick,0.0
620,104263199,Johann Matthias Dreyer,1.0
621,104264489,Adam Gottlob Detlef von Moltke,0.0
622,1042647259,Joachim Knappe,3.0
623,104264950,Friedrich August Müller,5.0
624,1042651787,Cuno Hofer,0.0
625,104265523,Henriette Ottenheimer,0.0
626,104268034,Georg Christian Lehms,2.0
627,104268433,Johann Caspar Friedrich Manso,2.0
628,1042732469,Hanne Tribelhorn-Wirth,0.0
629,104275197,Ludwig von Baczko,8.0
630,104276185,Wilhelm Christhelf Siegmund Mylius,2.0
631,10427882X,W. O. von Horn,36.0
632,104278870,Johann Sigismund Scholze,0.0
633,104279699,Markgräfin  Baden-Durlach Augusta Marie,0.0
634,104279702,Alfred E. Johann,52.0
635,104279850,David Joris,0.0
636,104280883,Johann Just Winckelmann,2.0
637,104282207,Michael Caspar Lundorp,0.0
638,1042850933,Wolfgang Joho,2.0
